timestamp,Meter_Hydros21_Cond,Meter_Hydros21_Temp,Meter_Hydros21_Depth
2024-07-09 04:00:00+00:00,93.8,26.7,139.3
2024-07-09 04:03:00+00:00,94.0,26.6,139.0
2024-07-09 04:06:00+00:00,94.8,26.52,138.3
2024-07-09 04:09:00+00:00,93.8,26.5,137.5
2024-07-09 04:12:00+00:00,94.5,26.4,138.0
2024-07-09 04:15:00+00:00,93.8,26.3,137.7
2024-07-09 04:18:00+00:00,93.8,26.3,136.8
2024-07-09 04:21:00+00:00,93.3,26.1,137.3
2024-07-09 04:24:00+00:00,94.0,26.1,138.0
2024-07-09 04:27:00+00:00,94.0,26.0,137.3
2024-07-09 04:30:00+00:00,94.3,25.9,137.3
2024-07-09 04:33:00+00:00,93.8,25.85,137.0
2024-07-09 04:42:00+00:00,93.2,25.7,137.2
2024-07-09 04:45:00+00:00,93.2,25.6,137.5
2024-07-09 04:51:00+00:00,93.0,25.5,136.7
2024-07-09 04:54:00+00:00,92.7,25.4,136.5
2024-07-09 05:09:00+00:00,94.2,25.1,135.7
2024-07-09 05:12:00+00:00,93.2,25.1,136.0
2024-07-09 05:21:00+00:00,92.8,24.92,134.7
2024-07-09 05:24:00+00:00,93.0,24.9,135.8
2024-07-09 05:27:00+00:00,92.7,24.82,133.8
2024-07-09 05:30:00+00:00,92.3,24.8,134.8
2024-07-09 05:33:00+00:00,92.3,24.72,134.2
2024-07-09 05:36:00+00:00,93.0,24.7,134.8
2024-07-09 05:39:00+00:00,92.7,24.63,134.7
2024-07-09 05:42:00+00:00,92.8,24.6,134.3
2024-07-09 05:45:00+00:00,93.3,24.6,133.8
2024-07-09 05:48:00+00:00,93.0,24.5,133.7
2024-07-09 05:54:00+00:00,94.2,24.4,132.8
2024-07-09 05:57:00+00:00,93.7,24.4,134.2
2024-07-09 06:00:00+00:00,93.2,24.3,134.0
2024-07-09 06:03:00+00:00,93.8,24.3,133.8
2024-07-09 06:06:00+00:00,94.0,24.22,133.8
2024-07-09 06:21:00+00:00,93.8,24.0,134.0
2024-07-09 06:24:00+00:00,94.7,24.0,133.8
2024-07-09 06:27:00+00:00,93.5,24.0,133.5
2024-07-09 06:30:00+00:00,94.0,23.9,133.7
2024-07-09 06:36:00+00:00,94.8,23.8,133.7
2024-07-09 06:42:00+00:00,93.8,23.8,132.2
2024-07-09 06:45:00+00:00,94.0,23.7,134.0
2024-07-09 06:51:00+00:00,94.7,23.7,134.3
2024-07-09 06:57:00+00:00,94.7,23.5,133.7
2024-07-09 07:03:00+00:00,95.0,23.5,132.3
2024-07-09 07:06:00+00:00,94.7,23.42,132.7
2024-07-09 07:09:00+00:00,94.8,23.4,132.2
2024-07-09 07:12:00+00:00,94.8,23.4,133.3
2024-07-09 07:15:00+00:00,95.7,23.32,133.0
2024-07-09 07:18:00+00:00,95.0,23.3,132.7
2024-07-09 07:24:00+00:00,95.7,23.2,132.2
