timestamp,Meter_Hydros21_Cond,Meter_Hydros21_Temp,Meter_Hydros21_Depth
2024-03-10 00:03:00+00:00,560.5,19.4,-143.5
2024-03-10 00:06:00+00:00,563.2,19.3,-132.0
2024-03-10 00:09:00+00:00,527.7,19.2,-122.0
2024-03-10 00:12:00+00:00,521.8,19.1,-122.3
2024-03-10 00:15:00+00:00,547.2,19.1,-124.2
2024-03-10 00:18:00+00:00,555.5,19.2,-124.3
2024-03-10 00:21:00+00:00,512.8,19.1,-119.8
2024-03-10 00:24:00+00:00,544.2,19.0,-122.7
2024-03-10 00:27:00+00:00,555.5,19.1,-120.8
2024-03-10 00:30:00+00:00,533.0,19.1,-115.3
2024-03-10 00:33:00+00:00,519.7,19.0,-111.8
2024-03-10 00:36:00+00:00,534.8,19.0,-115.7
2024-03-10 00:39:00+00:00,554.0,19.1,-120.2
2024-03-10 00:42:00+00:00,545.5,19.2,-116.2
2024-03-10 00:45:00+00:00,519.3,19.1,-118.7
2024-03-10 00:48:00+00:00,547.2,19.2,-122.2
2024-03-10 00:51:00+00:00,553.7,19.3,-118.5
2024-03-10 00:54:00+00:00,532.3,19.2,-96.3
2024-03-10 00:57:00+00:00,527.2,19.2,-112.2
2024-03-10 01:00:00+00:00,540.3,19.7,-143.7
2024-03-10 01:03:00+00:00,559.2,20.48,-167.2
2024-03-10 01:06:00+00:00,535.8,20.8,-164.2
2024-03-10 01:09:00+00:00,573.2,20.55,-161.2
2024-03-10 01:12:00+00:00,591.8,20.3,-148.5
2024-03-10 01:15:00+00:00,567.3,19.92,-120.7
2024-03-10 01:18:00+00:00,544.8,19.5,-101.3
2024-03-10 01:21:00+00:00,560.3,19.2,-101.2
2024-03-10 01:24:00+00:00,573.8,19.1,-97.3
2024-03-10 01:27:00+00:00,555.3,19.07,-86.2
2024-03-10 01:30:00+00:00,535.7,18.9,-88.2
2024-03-10 01:33:00+00:00,560.0,18.9,-89.8
2024-03-10 01:36:00+00:00,562.2,18.9,-86.2
2024-03-10 01:39:00+00:00,527.0,18.9,-80.3
2024-03-10 01:42:00+00:00,526.7,18.8,-83.7
2024-03-10 01:45:00+00:00,555.0,18.8,-85.5
2024-03-10 01:48:00+00:00,563.7,18.9,-83.7
2024-03-10 01:51:00+00:00,516.2,18.9,-86.2
2024-03-10 01:54:00+00:00,548.3,18.8,-88.2
2024-03-10 01:57:00+00:00,560.2,18.9,-86.2
2024-03-10 02:00:00+00:00,533.8,18.92,-82.8
2024-03-10 02:03:00+00:00,523.0,18.9,-73.2
2024-03-10 02:06:00+00:00,550.0,18.9,-82.5
2024-03-10 02:09:00+00:00,547.3,19.2,-100.3
2024-03-10 02:12:00+00:00,509.7,19.8,-122.3
2024-03-10 02:15:00+00:00,506.8,20.07,-138.7
2024-03-10 02:18:00+00:00,532.3,20.3,-140.8
2024-03-10 02:21:00+00:00,544.3,20.3,-131.2
2024-03-10 02:24:00+00:00,533.5,20.02,-97.0
2024-03-10 02:27:00+00:00,547.2,19.8,-97.3
2024-03-10 02:30:00+00:00,557.0,20.05,-111.2
